position,token,experts,weights
0,<｜begin▁of▁sentence｜>,"[0, 35, 46, 49, 62, 14]","[0.0097, 0.0213, 0.8058, 0.009, 0.0074, 0.0074]"
1,The,"[6, 44, 46, 55, 62, 42]","[0.041, 0.0304, 0.4505, 0.0379, 0.0988, 0.0253]"
2,Ġquick,"[17, 22, 44, 46, 59, 34]","[0.8965, 0.0061, 0.0108, 0.0192, 0.0145, 0.0061]"
3,Ġbrown,"[1, 34, 44, 56, 59, 2]","[0.1361, 0.0789, 0.1838, 0.0366, 0.1955, 0.0329]"
4,Ġfox,"[2, 7, 21, 31, 56, 39]","[0.1819, 0.0831, 0.0346, 0.0579, 0.1157, 0.0339]"
5,Ġjumps,"[4, 5, 20, 27, 51, 7]","[0.0674, 0.0683, 0.0671, 0.0592, 0.1906, 0.0451]"
6,Ġover,"[2, 38, 41, 51, 52, 10]","[0.0454, 0.1457, 0.1358, 0.2066, 0.1003, 0.0236]"
7,Ġthe,"[15, 46, 52, 58, 62, 29]","[0.0441, 0.051, 0.0606, 0.0592, 0.1856, 0.0414]"
8,Ġlazy,"[1, 17, 34, 56, 59, 44]","[0.0109, 0.886, 0.007, 0.0049, 0.0194, 0.0041]"
9,Ġdog,"[2, 7, 30, 31, 56, 11]","[0.0566, 0.0843, 0.0564, 0.0751, 0.1063, 0.0455]"
10,.,"[0, 14, 23, 35, 42, 16]","[0.1184, 0.2846, 0.1093, 0.0943, 0.0457, 0.0204]"
