E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63
0.009713,0.001445,0.00339,0.000882,0.000866,0.002072,0.001504,0.000892,0.005802,0.000963,0.001625,0.00137,0.001786,0.002908,0.007365,0.004678,0.00516,0.001285,0.002305,0.006202,0.001509,0.000844,0.001689,0.005268,0.007093,0.00572,0.001398,0.002141,0.001136,0.002124,0.001223,0.00179,0.002225,0.002463,0.001075,0.021316,0.000684,0.000967,0.003852,0.003395,0.001236,0.003712,0.006119,0.001646,0.001556,0.002303,0.805838,0.002085,0.00159,0.009036,0.004608,0.001636,0.003754,0.000608,0.003207,0.00156,0.001286,0.001433,0.002939,0.001625,0.002183,0.00158,0.007414,0.000919
0.005117,0.002017,0.004934,0.00637,0.000977,0.004885,0.040982,0.001112,0.009516,0.006055,0.001967,0.001122,0.0013,0.005163,0.005537,0.011486,0.005731,0.023494,0.002454,0.003063,0.001466,0.005379,0.006079,0.005151,0.011411,0.007096,0.008373,0.001633,0.006351,0.007246,0.00369,0.002282,0.006481,0.002342,0.001906,0.009747,0.005471,0.004415,0.002954,0.004582,0.001456,0.006288,0.02528,0.006548,0.030395,0.007909,0.450545,0.003277,0.005897,0.008563,0.007361,0.005881,0.010469,0.006951,0.005992,0.037851,0.004875,0.001908,0.007104,0.004701,0.003116,0.006469,0.098836,0.00499
0.000115,0.005883,0.000979,0.000875,0.000268,0.0008,0.000816,0.002047,0.000182,0.002099,0.000439,0.000986,0.000987,0.000246,0.000178,0.002211,0.000354,0.896498,0.000417,0.000163,0.000656,0.000356,0.006102,0.000159,0.00017,0.000117,0.001235,0.00076,0.000329,0.002793,0.000278,0.001383,0.000532,0.000483,0.006093,0.000182,0.000189,0.000265,0.000381,0.000356,0.000906,0.00277,0.000742,0.000843,0.010799,0.000286,0.019195,0.000456,0.000374,0.000728,0.000328,0.000473,0.000382,0.000827,0.000313,0.000459,0.000918,0.000157,0.000456,0.014499,0.000215,0.003578,0.000348,0.000589
0.000994,0.136143,0.032885,0.001288,0.009082,0.002142,0.00698,0.006263,0.000992,0.002629,0.006006,0.007535,0.003138,0.001426,0.001069,0.002425,0.001285,0.006983,0.015213,0.001475,0.015689,0.010237,0.005861,0.000569,0.003031,0.001251,0.007742,0.001776,0.0078,0.008663,0.010343,0.002866,0.003869,0.008649,0.078926,0.001689,0.00356,0.008939,0.000802,0.003213,0.004143,0.011751,0.001477,0.00825,0.18377,0.003903,0.013833,0.009876,0.003411,0.004383,0.005043,0.009108,0.001671,0.006234,0.003367,0.005898,0.036624,0.002669,0.015537,0.195485,0.006022,0.031056,0.00095,0.004112
0.002376,0.003619,0.181934,0.007381,0.005102,0.002488,0.013231,0.083117,0.002435,0.001656,0.003496,0.01797,0.003591,0.006702,0.003085,0.005561,0.005192,0.02153,0.000911,0.006666,0.002649,0.034557,0.003123,0.002209,0.006696,0.001628,0.015593,0.00521,0.004828,0.013083,0.015113,0.057946,0.021247,0.007106,0.004157,0.004191,0.004002,0.011551,0.000671,0.033947,0.004417,0.029887,0.001749,0.021909,0.008775,0.018316,0.020813,0.020424,0.002879,0.002875,0.009608,0.002238,0.003206,0.007841,0.007828,0.024207,0.1157,0.007258,0.008643,0.001639,0.005161,0.011258,0.007396,0.028423
0.001846,0.008329,0.007809,0.025555,0.067445,0.068326,0.006794,0.045136,0.001514,0.013611,0.043211,0.012143,0.012291,0.006579,0.004954,0.002833,0.003271,0.004552,0.003269,0.004601,0.06708,0.01067,0.009453,0.002011,0.001582,0.004467,0.016243,0.05918,0.016177,0.007069,0.002416,0.020031,0.016723,0.010307,0.015996,0.00342,0.00358,0.002626,0.013983,0.00787,0.010495,0.027556,0.005356,0.006161,0.006843,0.008526,0.001488,0.003791,0.004618,0.001154,0.012774,0.190552,0.005059,0.005997,0.006283,0.003046,0.01831,0.004799,0.01139,0.002162,0.002827,0.002752,0.006483,0.016627
0.001778,0.011308,0.045389,0.003986,0.017566,0.009783,0.006696,0.005137,0.00224,0.004329,0.023591,0.00393,0.002672,0.006957,0.002609,0.011281,0.003995,0.00196,0.002905,0.006639,0.012045,0.002843,0.009232,0.002206,0.003024,0.002928,0.008275,0.003336,0.00349,0.004781,0.004545,0.003178,0.007148,0.006058,0.003547,0.007969,0.002375,0.003701,0.145689,0.007585,0.004303,0.135841,0.005329,0.008099,0.008064,0.002621,0.003799,0.002314,0.009511,0.001422,0.01962,0.206634,0.100348,0.00376,0.004966,0.004452,0.009647,0.005329,0.01759,0.009808,0.003184,0.006856,0.005655,0.002141
0.002831,0.005341,0.014029,0.003841,0.003874,0.012032,0.009367,0.001718,0.004748,0.016839,0.00536,0.002048,0.002628,0.004196,0.004681,0.044053,0.005385,0.023798,0.005967,0.006774,0.004257,0.011431,0.009319,0.004379,0.014799,0.008167,0.030436,0.00277,0.010088,0.041362,0.017445,0.004444,0.017258,0.006485,0.005774,0.005815,0.012772,0.014263,0.006289,0.008454,0.006575,0.02912,0.020853,0.010044,0.012683,0.004892,0.051006,0.004089,0.017345,0.006705,0.01459,0.01208,0.060645,0.011849,0.009741,0.009239,0.006112,0.008986,0.059226,0.008948,0.004463,0.006134,0.185637,0.02352
0.000227,0.010922,0.003197,0.000787,0.000837,0.000991,0.000973,0.00377,0.000118,0.003403,0.000915,0.002276,0.000832,0.000735,0.00029,0.003759,0.000338,0.885977,0.000175,0.000589,0.000723,0.000956,0.003144,0.000276,0.001036,0.000315,0.002882,0.001121,0.001169,0.000574,0.001612,0.000803,0.000557,0.001468,0.006989,0.000425,0.001118,0.001294,0.000177,0.000385,0.002013,0.001146,0.000124,0.001819,0.004069,0.000797,0.000328,0.001795,0.000312,0.000295,0.002316,0.000647,0.000443,0.001312,0.000541,0.001189,0.004866,0.00025,0.001969,0.019396,0.00105,0.002992,0.000766,0.001428
0.001899,0.01064,0.05662,0.00753,0.006119,0.004068,0.017202,0.084263,0.001612,0.014459,0.004033,0.0455,0.010183,0.001665,0.004783,0.00699,0.002813,0.033956,0.006035,0.003623,0.003091,0.0243,0.005673,0.004181,0.005856,0.003024,0.042817,0.007013,0.012003,0.010827,0.056398,0.07514,0.004714,0.010929,0.005526,0.007629,0.01283,0.020524,0.000867,0.014765,0.01106,0.00486,0.003856,0.023636,0.008866,0.009783,0.011664,0.00931,0.004782,0.006227,0.010399,0.001615,0.002196,0.008781,0.004051,0.014882,0.106287,0.020193,0.02497,0.010679,0.005861,0.021628,0.003538,0.018776
