token_position,top5_experts,top5_scores
0,"[46, 35, 0, 49, 62]","[0.8058, 0.0213, 0.0097, 0.009, 0.0074]"
1,"[46, 62, 6, 55, 44]","[0.4505, 0.0988, 0.041, 0.0379, 0.0304]"
2,"[17, 46, 59, 44, 22]","[0.8965, 0.0192, 0.0145, 0.0108, 0.0061]"
3,"[59, 44, 1, 34, 56]","[0.1955, 0.1838, 0.1361, 0.0789, 0.0366]"
4,"[2, 56, 7, 31, 21]","[0.1819, 0.1157, 0.0831, 0.0579, 0.0346]"
5,"[51, 5, 4, 20, 27]","[0.1906, 0.0683, 0.0674, 0.0671, 0.0592]"
6,"[51, 38, 41, 52, 2]","[0.2066, 0.1457, 0.1358, 0.1003, 0.0454]"
7,"[62, 52, 58, 46, 15]","[0.1856, 0.0606, 0.0592, 0.051, 0.0441]"
8,"[17, 59, 1, 34, 56]","[0.886, 0.0194, 0.0109, 0.007, 0.0049]"
9,"[56, 7, 31, 2, 30]","[0.1063, 0.0843, 0.0751, 0.0566, 0.0564]"
10,"[14, 0, 23, 35, 42]","[0.2846, 0.1184, 0.1093, 0.0943, 0.0457]"
