,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63
layer_1,0.1281,0.1471,0.3168,0.0,0.0674,0.0683,0.041,0.2125,0.0,0.0,0.0236,0.0455,0.0,0.0,0.292,0.0441,0.0204,1.7825,0.0,0.0,0.0671,0.0346,0.0061,0.1093,0.0,0.0,0.0,0.0592,0.0,0.0414,0.0564,0.1331,0.0,0.0,0.092,0.1156,0.0,0.0,0.1457,0.0339,0.0,0.1358,0.0709,0.0,0.229,0.0,1.3266,0.0,0.0,0.009,0.0,0.3972,0.161,0.0,0.0,0.0379,0.2635,0.0,0.0592,0.2294,0.0,0.0,0.2919,0.0
layer_2,0.2149,0.0469,0.2627,0.0515,0.0,0.0,0.0466,0.0,0.0904,0.0,0.1006,0.1847,0.0,0.0524,0.0491,0.0487,0.2919,0.0,0.6173,0.0,0.0,0.2894,0.3137,0.0,0.0385,0.0768,0.0991,0.0,0.2251,0.0,0.0831,0.2572,0.1529,0.0,0.0318,0.0318,0.1341,0.1926,0.1179,0.0268,0.0334,0.0,0.3549,0.0271,0.0,0.055,0.0,0.1231,0.0,0.0,0.0316,0.0,0.0554,0.091,0.2709,0.0,0.0267,0.1154,0.2276,0.0,0.0,0.1648,0.1239,0.1644
layer_3,0.0,0.0446,0.262,0.0,0.1555,0.0,0.0,0.0,0.2123,0.0591,0.1412,0.0,0.2116,0.0,0.0,0.0857,0.1529,0.0,0.3956,0.0,0.2031,0.0,0.0671,0.0,0.0603,0.1883,0.0,0.0885,0.0,0.0918,0.1414,0.0,0.0,0.0,0.1557,0.0,0.0,0.0332,0.0293,0.0898,0.3221,0.1734,0.0,0.0362,0.0,0.0,0.0535,0.1175,0.0,0.0,0.074,0.0,0.0362,0.0,0.0,0.0,0.0346,0.0518,0.4705,0.419,0.1172,0.0358,0.1388,0.1231
layer_4,0.0,0.139,0.1174,0.2886,0.0483,0.05,0.0761,0.2103,0.0398,0.0,0.0,0.0,0.1583,0.0395,0.0,0.0767,0.0,0.065,0.05,0.0511,0.2164,0.4445,0.0742,0.0624,0.2265,0.0364,0.0688,0.0,0.0,0.0,0.0,0.1448,0.3863,0.0613,0.0,0.3802,0.0,0.0,0.0271,0.1059,0.0398,0.0,0.0,0.0,0.0239,0.0565,0.0817,0.1982,0.0482,0.048,0.0,0.2214,0.0,0.0341,0.0,0.0,0.0424,0.1733,0.0,0.1029,0.0,0.3518,0.0,0.0
layer_5,0.1108,0.0703,0.0,0.0798,0.0,0.2506,0.271,0.0,0.2119,0.0,0.1049,0.0,0.0746,0.3527,0.0,0.2582,0.0848,0.0439,0.0,0.0,0.1896,0.0,0.0,0.0904,0.0,0.0833,0.0,0.0,0.0,0.2198,0.0,0.0424,0.0951,0.1072,0.1022,0.0,0.1163,0.025,0.0819,0.0,0.0507,0.155,0.0,0.3617,0.0529,0.0,0.0,0.4932,0.0,0.0,0.0391,0.1785,0.0,0.1603,0.0731,0.2203,0.0,0.0508,0.0,0.0,0.0329,0.0,0.0,0.0
layer_6,0.0,0.0825,0.3057,0.0,0.4946,0.1497,0.1464,0.0485,0.0,0.0687,0.0,0.0,0.1596,0.0,0.0,0.5428,0.0933,0.0,0.0284,0.054,0.0713,0.1561,0.2194,0.0,0.0,0.0387,0.2253,0.0,0.2829,0.0549,0.2254,0.0,0.0,0.1604,0.0,0.3319,0.0,0.112,0.1089,0.344,0.0,0.1556,0.2251,0.0,0.0,0.4083,0.0,0.071,0.0339,0.0,0.0882,0.0,0.215,0.0331,0.0,0.0438,0.0815,0.0,0.0312,0.0,0.0,0.041,0.2603,0.0423
layer_7,0.1684,0.0982,0.0,0.0,0.0,0.1748,0.0,0.2311,0.0,0.1222,0.0,1.0222,0.0,0.0,0.188,0.1106,0.0,0.0428,0.0,0.0449,0.0,0.0,0.0305,0.4346,0.091,0.0,0.1231,0.0,0.1294,0.0785,0.2376,0.0,0.2511,0.1653,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.1956,0.0,0.0924,0.1175,0.221,0.2151,0.4113,0.0914,0.0,0.1167,0.0,0.0,0.1024,0.034,0.0182,0.0,0.0599,0.0588,0.0,0.0955,0.2072,0.132
layer_8,0.0,0.0,0.2261,0.0,0.0,0.0747,0.0,0.046,0.0,0.0435,0.0,0.0,0.0,0.1205,0.0,0.0243,0.4983,0.0,0.0,0.0,0.0,0.0995,0.1827,0.0329,0.0356,0.0,0.0,0.3169,0.0,0.0,0.0,0.0,0.0,0.208,0.0,0.0,0.0903,0.1018,0.0,0.0,0.0848,0.2347,0.0759,0.5548,0.1036,0.0,0.1914,0.4487,0.0,0.0,0.1564,0.0,0.0844,0.2823,0.9426,0.0329,0.1934,0.0993,0.3959,0.0,0.0,0.0689,0.1197,0.0
layer_9,0.0,0.4013,0.1095,0.0437,0.2434,0.595,0.0496,0.1233,0.0,0.0411,0.0,0.0636,0.6392,0.0,0.0,0.0558,0.1395,0.0,0.0,0.0,0.0754,0.0353,0.0,0.2885,0.1509,0.0999,0.0612,0.0,0.0753,0.0,0.18,0.0,0.2472,0.0387,0.0,0.1011,0.3469,0.0,0.0316,0.0,0.1689,0.0,0.1166,0.0,0.0,0.1399,0.0549,0.0446,0.0371,0.0,0.0,0.6775,0.0,0.4883,0.0298,0.0487,0.0,0.0438,0.2053,0.0,0.2925,0.0,0.0,0.0
layer_10,0.021,0.2239,0.195,0.0,0.0,0.0444,0.0,0.0,0.1239,0.1025,0.0,0.0,0.0,0.1219,0.7543,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2016,0.0,0.0811,0.036,0.248,0.5381,0.0354,0.4865,0.6814,0.0,0.1032,0.0339,0.0,0.1323,0.0,0.1768,0.0,0.1239,0.0746,0.4517,0.0,0.0539,0.0,0.3116,0.118,0.0,0.0,0.1596,0.1306,0.315,0.0,0.1045,0.0959,0.1348,0.0534,0.0,0.0577,0.0,0.0
layer_11,0.6198,0.0,0.0,0.0,0.0,0.0,0.0065,0.2694,0.0299,0.3682,0.0,0.0,0.0,0.0,0.1595,0.0,0.0,0.0986,0.0,0.0,1.0433,0.0,0.0,0.0,0.1675,0.0758,0.0209,0.0,0.343,0.0,0.0699,0.8693,0.0447,0.0,0.0612,0.0,0.0,0.057,0.0,0.3342,0.0,0.334,0.0,0.0743,0.0333,0.0545,0.0,0.2756,0.0396,0.061,0.0861,0.0,0.8852,0.0,0.0997,0.0425,0.0,0.0,0.0321,0.0809,0.0433,0.4099,0.0,0.0353
