expert,usage,expert_label
0,1.263,E0
1,1.2537,E1
2,1.7951,E2
3,0.4635,E3
4,1.0092,E4
5,1.4075,E5
6,0.6372,E6
7,1.1413,E7
8,0.7083,E8
9,0.8053,E9
10,0.3703,E10
11,1.316,E11
12,1.2433,E12
13,0.6869,E13
14,1.443,E14
15,1.2469,E15
16,1.281,E16
17,2.1397,E17
18,1.0913,E18
19,0.15,E19
20,1.8662,E20
21,1.0593,E21
22,0.8938,E22
23,1.0181,E23
24,0.7704,E24
25,0.8007,E25
26,0.5984,E26
27,0.5456,E27
28,1.0918,E28
29,0.7343,E29
30,1.532,E30
31,1.4822,E31
32,1.6639,E32
33,1.4224,E33
34,0.443,E34
35,1.0638,E35
36,0.7214,E36
37,0.5216,E37
38,0.7526,E38
39,0.9346,E39
40,0.8765,E40
41,1.1885,E41
42,1.163,E42
43,1.1286,E43
44,0.9868,E44
45,0.8317,E45
46,1.9829,E46
47,1.987,E47
48,0.8817,E48
49,0.3274,E49
50,0.4753,E50
51,1.5913,E51
52,1.5967,E52
53,1.2197,E53
54,1.8334,E54
55,0.4601,E55
56,0.7647,E56
57,0.6303,E57
58,1.6165,E58
59,0.9444,E59
60,0.4859,E60
61,1.2253,E61
62,1.1418,E62
63,0.4971,E63
